Brand_ID,Classification,Price,quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,free_chlorides
Wi02-1025,Red,14.99,6,6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,0.031548827
Wi02-1026,Red,9.99,5,9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,0.035332693
Wi02-1027,Red,19.99,6,11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,0.031774175
Wi02-1028,Red,14.99,5,7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,0.047881484
Wi02-1029,Red,19.99,6,12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,0.02750207
Wi02-1030,Red,12.99,5,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,0.039211842
Wi02-1031,Red,17.99,6,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,0.024037017
Wi02-1032,Red,18.99,6,6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,0.029220542
Wi02-1033,Red,7.99,4,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,0.080251025
Wi02-1034,Red,18.99,6,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,0.028630243
Wi02-1035,Red,11.99,5,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,0.035068524
Wi02-1036,Red,13.99,6,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,0.031325867
Wi02-1037,Red,16.99,6,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,0.029120898
Wi02-1038,Red,15.99,6,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,0.031105263
Wi02-1039,Red,8.99,5,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,0.033057851
Wi02-1040,Red,12.99,5,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,0.046648536
Wi02-1041,Red,9.99,5,13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,0.040160481
Wi02-1042,Red,18.99,6,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,0.030778701
Wi02-1043,Red,19.99,6,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,0.02618322
Wi02-1044,Red,15.99,6,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,0.025518276
Wi02-1045,Red,11.99,5,7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,0.04
Wi02-1046,Red,8.99,5,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,0.043222496
Wi02-1047,Red,13.99,5,8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,0.039057008
Wi02-1048,Red,14.99,5,7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,0.03317839
Wi02-1049,Red,19.99,6,6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,0.029726516
Wi02-1050,Red,11.99,5,8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,0.043043336
Wi02-1051,Red,14.99,6,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,0.02576463
Wi02-1052,Red,14.99,5,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,0.037412688
Wi02-1053,Red,15.99,6,7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,0.032348222
Wi02-1054,Red,16.99,6,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,0.031105263
Wi02-1055,Red,11.99,5,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,0.035465898
Wi02-1056,Red,12.99,5,8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,0.042512488
Wi02-1057,Red,14.99,5,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,0.0336672
Wi02-1058,Red,8.99,5,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,0.03442092
Wi02-1059,Red,11.99,5,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,0.045462605
Wi02-1060,Red,8.99,5,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,0.03317839
Wi02-1061,Red,18.99,7,9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,0.020006042
Wi02-1062,Red,26.99,7,8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,0.021818388
Wi02-1063,Red,13.99,5,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,0.035200237
Wi02-1064,Red,17.99,6,11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,0.029522561
Wi02-1065,Red,20.99,7,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,0.023308665
Wi02-1066,Red,11.99,5,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,0.034807307
Wi02-1067,Red,14.99,6,7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,0.032232175
Wi02-1068,Red,15.99,6,7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,0.02609869
Wi02-1069,Red,19.99,6,7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,0.026268161
Wi02-1070,Red,14.99,6,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.032937968
Wi02-1071,Red,8.99,5,9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,0.048516369
Wi02-1072,Red,23.99,7,10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,0.02359598
Wi02-1073,Red,15.99,6,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,0.031105263
Wi02-1074,Red,16.99,6,11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,0.027870602
Wi02-1075,Red,17.99,6,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,0.02750207
Wi02-1076,Red,18.99,6,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,0.025275439
Wi02-1077,Red,17.99,6,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,0.02418678
Wi02-1078,Red,18.99,6,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,0.026786599
Wi02-1079,Red,16.99,6,9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,0.026612094
Wi02-1080,Red,14.99,6,8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,0.025518276
Wi02-1081,Red,14.99,6,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,0.027593514
Wi02-1082,Red,8.99,5,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,0.043950441
Wi02-1083,Red,11.99,5,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,0.035332693
Wi02-1084,Red,21.99,7,9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,0.019726045
Wi02-1085,Red,12.99,5,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,0.046447681
Wi02-1086,Red,14.99,5,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,0.038903089
Wi02-1087,Red,16.99,6,10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,0.025847541
Wi02-1088,Red,9.99,5,9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,0.047465125
Wi02-1089,Red,10.99,5,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,0.036840418
Wi02-1090,Red,8.99,5,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,0.037124899
Wi02-1091,Red,16.99,6,7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,0.02480005
Wi02-1092,Red,14.99,5,7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,0.034040931
Wi02-1093,Red,10.99,5,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,0.048946668
Wi02-1094,Red,14.99,5,7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,0.04432133
Wi02-1095,Red,12.99,5,6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11,0.041311389
Wi02-1096,Red,15.99,6,6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,0.024111724
Wi02-1097,Red,24.99,7,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,0.020822532
Wi02-1098,Red,21.99,7,8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,0.023026566
Wi02-1099,Red,17.99,6,7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,0.032464897
Wi02-1100,Red,9.99,4,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,0.054335719
Wi02-1101,Red,8.99,5,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,0.040647763
Wi02-1102,Red,8.99,5,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,0.035068524
Wi02-1103,Red,14.99,6,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,0.025518276
Wi02-1104,Red,14.99,5,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,0.035870064
Wi02-1105,Red,8.99,5,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,0.046850696
Wi02-1106,Red,14.99,6,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,0.028727377
Wi02-1107,Red,9.99,5,7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,0.034166892
Wi02-1108,Red,10.99,5,7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,0.043402778
Wi02-1109,Red,31.99,8,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,0.015982585
Wi02-1110,Red,6.99,4,8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,0.056420354
Wi02-1111,Red,13.99,6,7.1,0.22,0.49,1.8,0.039,8,18,0.99344,3.39,0.56,12.4,0.02480005
Wi02-1112,Red,13.99,6,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,0.0256
Wi02-1113,Red,12.99,5,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,0.039524286
Wi02-1114,Red,19.99,6,8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,0.025518276
Wi02-1115,Red,17.99,6,8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,0.033057851
Wi02-1116,Red,13.99,5,9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,0.036006323
Wi02-1117,Red,19.99,6,7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,0.024878345
Wi02-1118,Red,13.99,6,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,0.029021763
Wi02-1119,Red,18.99,7,8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,0.021065004
Wi02-1120,Red,18.99,6,6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,0.02942137
Wi02-1121,Red,19.99,6,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,0.032700149
Wi02-1122,Red,14.99,6,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,0.024111724
Wi02-1123,Red,17.99,6,7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,0.029320698
Wi02-1124,Red,13.99,5,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,0.047054173
Wi02-1125,Red,14.99,5,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,0.036699403
Wi02-1126,Red,14.99,6,7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,0.027593514
Wi02-1127,Red,16.99,6,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,0.02576463
Wi02-1128,Red,17.99,6,9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,0.027140798
Wi02-1129,Red,11.99,5,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,0.048946668
Wi02-1130,Red,14.99,6,8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,0.029932592
Wi02-1131,Red,9.99,5,10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,0.041649313
Wi02-1132,Red,18.99,6,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,0.032001946
Wi02-1133,Red,14.99,5,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,0.042512488
Wi02-1134,Red,14.99,6,5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,0.025355998
Wi02-1135,Red,7.99,3,6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,0.137174211
Wi02-1136,Red,18.99,6,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,0.025036052
Wi02-1137,Red,14.99,6,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,0.029220542
Wi02-1138,Red,16.99,6,6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,0.028437448
Wi02-1139,Red,13.99,6,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.024878345
Wi02-1140,Red,14.99,5,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,0.039367599
Wi02-1141,Red,13.99,6,6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,0.028341779
Wi02-1142,Red,20.99,7,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,0.018510806
Wi02-1143,Red,19.99,6,12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,0.029320698
Wi02-1144,Red,13.99,5,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,0.047465125
Wi02-1145,Red,19.99,6,8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,0.02418678
Wi02-1146,Red,19.99,6,6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,0.030670989
Wi02-1147,Red,17.99,6,12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,0.033057851
Wi02-1148,Red,12.99,5,8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,0.035734578
Wi02-1149,Red,9.99,5,8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,0.03354399
Wi02-1150,Red,17.99,6,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,0.025930853
Wi02-1151,Red,9.99,5,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,0.036699403
Wi02-1152,Red,18.99,6,5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,0.031215273
Wi02-1153,Red,23.99,7,13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,0.020349979
Wi02-1154,Red,19.99,6,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,0.030778701
Wi02-1155,Red,25.99,7,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,0.021690045
Wi02-1156,Red,15.99,6,7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,0.030140818
Wi02-1157,Red,5.99,3,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,0.095259869
Wi02-1158,Red,16.99,6,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,0.031215273
Wi02-1159,Red,26.99,7,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,0.019781572
Wi02-1160,Red,12.99,5,9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,0.041311389
Wi02-1161,Red,24.99,7,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,0.018816764
Wi02-1162,Red,17.99,6,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,0.033057851
Wi02-1163,Red,14.99,6,11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,0.027593514
Wi02-1164,Red,10.99,5,6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,0.041311389
Wi02-1165,Red,9.99,5,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,0.036840418
Wi02-1166,Red,14.99,5,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,0.040812162
Wi02-1167,Red,17.99,6,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,0.028533601
Wi02-1168,Red,8.99,5,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,0.034807307
Wi02-1169,Red,9.99,5,7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,0.036281179
Wi02-1170,Red,9.99,5,11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,0.04032193
Wi02-1171,Red,15.99,6,8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,0.023668639
Wi02-1172,Red,19.99,6,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,0.031887755
Wi02-1173,Red,14.99,5,9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,0.046447681
Wi02-1174,Red,25.99,7,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,0.022410269
Wi02-1175,Red,18.99,6,8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,0.027320538
Wi02-1176,Red,26.99,7,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,0.017872973
Wi02-1177,Red,11.99,5,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,0.038597967
Wi02-1178,Red,8.99,5,7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8,0.036281179
Wi02-1179,Red,20.99,7,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,0.021562831
Wi02-1180,Red,13.99,5,11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,0.035200237
Wi02-1181,Red,13.99,5,8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,0.036982249
Wi02-1182,Red,21.99,7,7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,0.017872973
Wi02-1183,Red,19.99,7,6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,0.01782528
Wi02-1184,Red,20.99,7,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,0.020882756
Wi02-1185,Red,13.99,6,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,0.03143705
Wi02-1186,Red,11.99,5,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,0.035599858
Wi02-1187,Red,15.99,6,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,0.024111724
Wi02-1188,Red,17.99,6,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,0.029120898
Wi02-1189,Red,21.99,7,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,0.01902497
Wi02-1190,Red,18.99,6,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,0.02418678
Wi02-1191,Red,12.99,5,7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,0.042164026
Wi02-1192,Red,8.99,5,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,0.034166892
Wi02-1193,Red,13.99,5,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,0.048091721
Wi02-1194,Red,7.99,4,7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,0.063769003
Wi02-1195,Red,19.99,6,6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,0.027230446
Wi02-1196,Red,8.99,5,6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,0.03442092
Wi02-1197,Red,14.99,5,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,0.045269353
Wi02-1198,Red,8.99,5,9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,0.038903089
Wi02-1199,Red,8.99,5,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,0.048091721
Wi02-1200,Red,24.99,7,8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,0.018561278
Wi02-1201,Red,12.99,5,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,0.04432133
Wi02-1202,Red,18.99,6,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,0.025195263
Wi02-1203,Red,25.99,7,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,0.020643414
Wi02-1204,Red,14.99,6,10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,0.031215273
Wi02-1205,Red,10.99,5,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,0.042865287
Wi02-1206,Red,11.99,5,9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,0.03968191
Wi02-1207,Red,23.99,7,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,0.023166971
Wi02-1208,Red,10.99,5,7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,0.04032193
Wi02-1209,Red,14.99,6,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,0.029120898
Wi02-1210,Red,19.99,6,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,0.026268161
Wi02-1211,Red,9.99,5,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,0.039524286
Wi02-1212,Red,13.99,6,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,0.025518276
Wi02-1213,Red,19.99,7,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,0.018920438
Wi02-1214,Red,19.99,7,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,0.022681086
Wi02-1215,Red,14.99,5,7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,0.03329959
Wi02-1216,Red,17.99,6,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,0.024262187
Wi02-1217,Red,25.99,7,12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,0.021690045
Wi02-1218,Red,14.99,5,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,0.042865287
