Brand_ID,Brand_Name,Classification,Price,quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,free_chlorides
R-1187,Fat Sound,Red,24.99,7,7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,0.021499643
R-1188,Xanpon Vintners,Red,17.99,6,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,0.031887755
R-1189,Pulappli Vines,Red,13.99,5,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,0.046648536
R-1190,Psychotic Ghost Vintners,Red,19.99,6,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,0.025518276
R-1191,Suspiciously Scarce,Red,10.99,5,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,0.036006323
R-1192,Swanky Cactus Vintners,Red,9.99,5,7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,0.04233772
R-1193,La Hermana,Red,26.99,7,11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,0.022013049
R-1194,Cuddly Scarecrow Vintners,Red,8.99,5,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,0.039367599
R-1195,Stronghold,Red,14.99,6,9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,0.023741634
R-1196,Silversmith Wine,Red,10.99,5,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,0.035870064
R-1197,Merciful Judge,Red,15.99,6,6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,0.027140798
R-1198,Boardwalk Vintners,Red,24.99,7,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,0.019130372
R-1199,Blueberry Wine,Red,17.99,6,8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,0.027870602
R-1200,Los Zapatos,Red,12.99,5,6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,0.043043336
R-1201,Glozzom,Red,19.99,7,7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,0.022956841
R-1202,Ethereal Teaching,Red,19.99,6,7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,0.025195263
R-1203,Roomy Cabin Vintners,Red,13.99,5,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,0.037268377
R-1204,Siopp,Red,14.99,5,6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,0.043402778
R-1205,Unpossible Winery,Red,10.99,5,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,0.042512488
R-1206,Cluttered Ducks Vines,Red,17.99,6,5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,0.028341779
R-1207,Yellow Eyes,Red,10.99,5,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,0.047054173
R-1208,Acirassi Wines,Red,14.99,5,10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,0.041819832
R-1209,Graceful Motion Vines,Red,10.99,4,7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,0.05484591
R-1210,Butterfingers Vines,Red,16.99,6,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,0.026014568
R-1211,La Escalera,Red,14.99,6,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,0.028151885
R-1212,Holistic Earth,Red,16.99,6,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,0.029829287
R-1213,Defas Vines,Red,14.99,5,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,0.037557839
R-1214,Rainwater,Red,14.99,5,9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,0.037268377
R-1215,Weary Traveller,Red,18.99,6,6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,0.028057653
R-1216,Headline Wines,Red,14.99,6,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,0.024337947
R-1217,Adventurously Aloof Wines,Red,14.99,5,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,0.03329959
R-1218,Sertave,Red,12.99,5,7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,0.042865287
R-1219,Ybuwyn Wines,Red,10.99,5,8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,0.033421455
R-1220,Three Brothers Vintners,Red,10.99,5,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,0.037268377
R-1221,Chief Concern Wine,Red,14.99,6,7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,0.028630243
R-1222,Bocilile Wines,Red,13.99,6,5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,0.028246593
R-1223,Colorfully Pale,Red,10.99,5,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,0.037412688
R-1224,Forecastle Vintners,Red,13.99,5,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,0.037703836
R-1225,La Familia,Red,11.99,5,7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,0.048946668
R-1226,Valiantly Humdrum,Red,15.99,6,6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,0.02750207
R-1227,Heartbreaking Rose,Red,8.99,5,7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,0.036419789
R-1228,Pastoral Hill Vineyards,Red,12.99,5,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,0.03317839
R-1229,Crowded Hut,Red,13.99,6,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,0.030245747
R-1230,Jiofrax,Red,19.99,6,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,0.032937968
R-1231,Commonplace Winery,Red,17.99,6,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,0.023814967
R-1232,Wayward Vineyards,Red,14.99,5,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,0.041143967
R-1233,Cloudy Bay Vintners,Red,5.99,3,7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,0.13819599
R-1234,Backspace Winery,Red,9.99,5,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,0.040812162
R-1235,Sneaky Star Wine,Red,16.99,6,5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,0.0256
R-1236,Sunray,Red,10.99,5,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,0.039840479
R-1237,Hoppler Winery,Red,15.99,6,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,0.024644564
R-1238,Whole Trail Wines,Red,19.99,6,8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,0.029220542
R-1239,Pruvia Winery,Red,13.99,5,8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,0.034677791
R-1240,Anytime Vines,Red,14.99,5,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,0.034548997
R-1241,Boxium Vines,Red,17.99,6,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,0.03143705
R-1242,Electric Team Winery,Red,9.99,5,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,0.041819832
R-1243,La Onda,Red,13.99,5,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,0.046648536
R-1244,Free Thought Wines,Red,16.99,6,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,0.028151885
R-1245,Assorted Errors Wine,Red,8.99,5,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,0.047881484
R-1246,Miresa,Red,18.99,6,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,0.024957012
R-1247,Tremendously Tested,Red,14.99,5,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,0.046248121
R-1248,Bistup Wine,Red,9.99,5,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,0.034040931
R-1249,Daffy Town Winery,Red,8.99,5,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,0.039057008
R-1250,Drirathiel Vines,Red,11.99,5,11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,0.037412688
R-1251,Carefree Vines,Red,19.99,6,7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,0.031325867
R-1252,Bizarre,Red,17.99,6,8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,0.024722123
R-1253,Eight Hands,Red,12.99,5,8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,0.033057851
R-1254,Frantic Machine Winery,Red,14.99,5,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,0.033915665
R-1255,Ever Near,Red,14.99,5,6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,0.034807307
R-1256,Mellow Acoustics,Red,11.99,5,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,0.035465898
R-1257,Vigorous,Red,14.99,5,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,0.03442092
R-1258,Exclusive Feeling Winery,Red,14.99,6,10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,0.030140818
R-1259,Nekmit,Red,12.99,5,8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,0.035068524
R-1260,Premium Payment Winery,Red,17.99,6,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,0.026874496
R-1261,El Venado,Red,11.99,5,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,0.035332693
R-1262,Pinwheel Vintners,Red,17.99,6,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,0.028923134
R-1263,Biasdo Wines,Red,8.99,5,6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,0.036143359
R-1264,Berserk Beefeater,Red,11.99,5,8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,0.043402778
R-1265,Descriptive Limit Vines,Red,8.99,5,8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,0.034166892
R-1266,Tribop Wine,Red,12.99,5,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,0.034807307
R-1267,Grandmaster Vintners,Red,9.99,5,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0.037850687
R-1268,Aspiring Exchange,Red,14.99,5,7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,0.036419789
R-1269,Sorson Winery,Red,14.99,6,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,0.024111724
R-1270,La Tortuga,Red,15.99,6,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,0.031325867
R-1271,Festive Tendency,Red,17.99,6,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,0.026439289
R-1272,Daily Run Winery,Red,8.99,5,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,0.03317839
R-1273,Hysterical Cleric Wine,Red,8.99,5,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,0.042865287
R-1274,Daisywheel,Red,14.99,5,7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,0.044508537
R-1275,Responsible Bucket Wine,Red,11.99,5,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,0.036419789
R-1276,Relatively Educated Wines,Red,9.99,5,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,0.047258979
R-1277,Telltale Winery,Red,14.99,6,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,0.025436943
R-1278,La Banca,Red,13.99,6,9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,0.029021763
R-1279,Brainy Bairn Vines,Red,16.99,6,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,0.025518276
R-1280,Lotadilo Vineyards,Red,13.99,6,7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,0.026786599
R-1281,Untidy Coiffure Vines,Red,10.99,5,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,0.038446751
R-1282,Breezy Boquet Wine,Red,15.99,6,8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,0.024644564
R-1283,Sloppy Joe Wines,Red,13.99,5,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,0.04585284
R-1284,Even Keeled,Red,16.99,6,9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,0.024490536
R-1285,Beneficial Point,Red,14.99,5,11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,0.036559195
R-1286,Fortunate Thread,Red,15.99,6,6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,0.025115468
R-1287,Marked Page Wine,Red,16.99,6,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,0.031105263
R-1288,Disillusioned Inventor,Red,17.99,6,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,0.030563842
R-1289,Shipstern Wines,Red,7.99,4,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,0.055363322
R-1290,Delightful Wall Wines,Red,11.99,5,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,0.036143359
R-1291,Backslide Winery,Red,17.99,6,11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,0.031887755
R-1292,Verdant View Winery,Red,19.99,6,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,0.029624275
R-1293,Useless Boot Vines,Red,14.99,5,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,0.041143967
R-1294,Flowery Bells Vintners,Red,14.99,6,9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,0.032116751
R-1295,Victorious Hand,Red,8.99,5,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,0.043950441
R-1296,Winooze,Red,13.99,6,7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,0.029932592
R-1297,Highfalutin Vintners,Red,15.99,6,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,0.032937968
R-1298,Mizuxe Vines,Red,15.99,6,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,0.024957012
R-1299,Delicate,Red,17.99,6,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,0.030351224
R-1300,Starfish,Red,23.99,7,7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,0.019781572
R-1301,Digikiki Vineyards,Red,15.99,6,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,0.032116751
R-1302,Hawkloon Vintners,Red,13.99,6,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,0.026962826
R-1303,Forecast Vineyards,Red,18.99,6,7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,0.028825006
R-1304,Sunup Winery,Red,23.99,7,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,0.022887433
R-1305,La Remolacha,Red,11.99,5,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,0.043222496
R-1306,Illustrious Wine,Red,14.99,5,6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,0.03442092
R-1307,Painstaking Effort Wine,Red,9.99,5,8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,0.035332693
R-1308,Burder Winery,Red,7.99,4,8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,0.080707645
R-1309,El Bisonte,Red,26.99,7,5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,0.018868494
